"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"215811_at",-0.204045092269529,7.06328578416822,-4.38995408061998,2.6437671853942e-05,0.000101343650769205,1.50059394820262,"Not Significant","SNCA"
"210429_at",-0.12726455895285,4.68172800963551,-4.38891794047521,2.65447720655186e-05,0.000101736696927408,1.49671261260225,"Not Significant","RHD"
"201530_x_at",0.239407819901477,12.3802249159813,4.3882517036798,2.66138581775298e-05,0.000101983938395511,1.49421725611786,"Not Significant","EIF4A1"
"212144_at",-0.256652065301547,9.06769936428972,-4.38812619199363,2.66268926306862e-05,0.000102016342587617,1.49374718795923,"Not Significant","SUN2"
"202183_s_at",0.29263983322273,6.66832188921495,4.38777820221161,2.66630637424109e-05,0.000102137364513004,1.49244394068488,"Not Significant","KIF22"
"204083_s_at",-0.572615994152004,7.97279934584112,-4.38733863329706,2.67088215794518e-05,0.000102295062092631,1.49079782584459,"Not Significant","TPM2"
"200720_s_at",-0.177776482829697,8.6096814938785,-4.38711666285575,2.67319568092083e-05,0.000102366075542119,1.48996662596209,"Not Significant","ACTR1A"
"205811_at",0.186902333225545,7.05644752421495,4.38622072720085,2.68255336669334e-05,0.000102706764037848,1.48661196557247,"Not Significant","POLG2"
"202927_at",-0.213466949460592,6.83371112914019,-4.3859911605715,2.68495617493587e-05,0.000102781100233802,1.48575247396336,"Not Significant","PIN1"
"211562_s_at",-0.163450995709712,6.97686844164486,-4.38502104061916,2.69513307213607e-05,0.00010315295473447,1.48212071605018,"Not Significant","LMOD1"
"209284_s_at",0.299228724871569,8.82572823,4.38445024275954,2.70113830627189e-05,0.000103365043583473,1.47998412913273,"Not Significant","TASOR"
"216570_x_at",0.283571203453905,9.54987689986916,4.38377411784317,2.70826835170216e-05,0.000103620095606077,1.47745353739021,"Not Significant",NA
"218776_s_at",0.204473191578115,8.21005633778505,4.38368874888542,2.7091698952157e-05,0.000103636794463676,1.47713403890056,"Not Significant","TMEM62"
"213168_at",0.382784839472203,9.66047883229906,4.38347394276281,2.71143964689747e-05,0.000103705818145926,1.47633013319423,"Not Significant","SP3"
"221530_s_at",-0.543253057619986,8.03143402653271,-4.38238944382026,2.72292703705408e-05,0.000104127309364469,1.47227184696829,"Not Significant","BHLHE41"
"203724_s_at",-0.184637476023223,6.42429581630841,-4.38123928187205,2.73516120851262e-05,0.000104577208663841,1.46796860999333,"Not Significant","RUFY3"
"202622_s_at",-0.215006120037298,8.60983921531776,-4.38106324051696,2.73703841423512e-05,0.000104631029309317,1.46731003521303,"Not Significant","ATXN2"
"203225_s_at",0.39712836427164,7.68633694600935,4.38056810444837,2.74232492699869e-05,0.000104815139533983,1.46545781877196,"Not Significant","RFK"
"220617_s_at",0.325381980698803,9.26908124542056,4.37893498116132,2.75983146149173e-05,0.000105466171250935,1.45934962950423,"Not Significant","ZNF532"
"214757_at",0.14458196454152,5.23198832969159,4.37669652826495,2.78400202695843e-05,0.000106371600080101,1.45097997743243,"Not Significant","PMS2P2"
"216493_s_at",0.193018666285714,5.83803318431776,4.37650226688162,2.78610923475275e-05,0.000106433862640143,1.45025376842611,"Not Significant","IGF2BP3"
"202124_s_at",-0.522984087559465,8.27797532827103,-4.3762746463302,2.7885802547395e-05,0.000106509999685225,1.44940288120324,"Not Significant","TRAK2"
"210044_s_at",-0.251556603743139,7.68242707491589,-4.37564132934813,2.79546658365453e-05,0.000106754724736202,1.44703558925782,"Not Significant","LYL1"
"205767_at",0.948869183832864,5.62704857588785,4.37499963284069,2.80246074248934e-05,0.000107003483078975,1.44463721941183,"Not Significant","EREG"
"213419_at",-0.228939732691062,7.14300717403738,-4.37436574881884,2.80938630665706e-05,0.000107249537555661,1.442268290401,"Not Significant","APBB2"
"201386_s_at",0.372266965514779,10.0761266456636,4.37404938367798,2.81284895385213e-05,0.000107363332029269,1.44108607148618,"Not Significant","DHX15"
